municipio,ano,cor,populacao
Adamantina,2010,Total,33797
Adolfo,2010,Total,3557
Aguaí,2010,Total,32148
Águas da Prata,2010,Total,7584
Águas de Lindóia,2010,Total,17266
Águas de Santa Bárbara,2010,Total,5601
Águas de São Pedro,2010,Total,2707
Agudos,2010,Total,34524
Alambari,2010,Total,4884
Alfredo Marcondes,2010,Total,3891
Altair,2010,Total,3815
Altinópolis,2010,Total,15607
Alto Alegre,2010,Total,4102
Alumínio,2010,Total,16839
Álvares Florence,2010,Total,3897
Álvares Machado,2010,Total,23513
Álvaro de Carvalho,2010,Total,4650
Alvinlândia,2010,Total,3000
Americana,2010,Total,210638
Américo Brasiliense,2010,Total,34478
Américo de Campos,2010,Total,5706
Amparo,2010,Total,65829
Analândia,2010,Total,4293
Andradina,2010,Total,55334
Angatuba,2010,Total,22210
Anhembi,2010,Total,5653
Anhumas,2010,Total,3738
Aparecida,2010,Total,35007
Aparecida d'Oeste,2010,Total,4450
Apiaí,2010,Total,25191
Araçariguama,2010,Total,17080
Araçatuba,2010,Total,181579
Araçoiaba da Serra,2010,Total,27299
Aramina,2010,Total,5152
Arandu,2010,Total,6123
Arapeí,2010,Total,2493
Araraquara,2010,Total,208662
Araras,2010,Total,118843
Arco-Íris,2010,Total,1925
Arealva,2010,Total,7841
Areias,2010,Total,3696
Areiópolis,2010,Total,10579
Ariranha,2010,Total,8547
Artur Nogueira,2010,Total,44177
Arujá,2010,Total,74905
Aspásia,2010,Total,1809
Assis,2010,Total,95144
Atibaia,2010,Total,126603
Auriflama,2010,Total,14202
Avaí,2010,Total,4959
Avanhandava,2010,Total,11310
Avaré,2010,Total,82934
Bady Bassitt,2010,Total,14603
Balbinos,2010,Total,3702
Bálsamo,2010,Total,8160
Bananal,2010,Total,10223
Barão de Antonina,2010,Total,3116
Barbosa,2010,Total,6593
Bariri,2010,Total,31593
Barra Bonita,2010,Total,35246
Barra do Chapéu,2010,Total,5244
Barra do Turvo,2010,Total,7729
Barretos,2010,Total,112101
Barrinha,2010,Total,28496
Barueri,2010,Total,240749
Bastos,2010,Total,20445
Batatais,2010,Total,56476
Bauru,2010,Total,343937
Bebedouro,2010,Total,75035
Bento de Abreu,2010,Total,2674
Bernardino de Campos,2010,Total,10775
Bertioga,2010,Total,47645
Bilac,2010,Total,7048
Birigui,2010,Total,108728
Biritiba Mirim,2010,Total,28575
Boa Esperança do Sul,2010,Total,13645
Bocaina,2010,Total,10859
Bofete,2010,Total,9618
Boituva,2010,Total,48314
Bom Jesus dos Perdões,2010,Total,19708
Bom Sucesso de Itararé,2010,Total,3571
Borá,2010,Total,805
Boracéia,2010,Total,4268
Borborema,2010,Total,14529
Borebi,2010,Total,2293
Botucatu,2010,Total,127328
Bragança Paulista,2010,Total,146744
Braúna,2010,Total,5021
Brejo Alegre,2010,Total,2573
Brodowski,2010,Total,21107
Brotas,2010,Total,21580
Buri,2010,Total,18563
Buritama,2010,Total,15418
Buritizal,2010,Total,4053
Cabrália Paulista,2010,Total,4365
Cabreúva,2010,Total,41604
Caçapava,2010,Total,84752
Cachoeira Paulista,2010,Total,30091
Caconde,2010,Total,18538
Cafelândia,2010,Total,16607
Caiabu,2010,Total,4072
Caieiras,2010,Total,86529
Caiuá,2010,Total,5039
Cajamar,2010,Total,64114
Cajati,2010,Total,28372
Cajobi,2010,Total,9768
Cajuru,2010,Total,23371
Campina do Monte Alegre,2010,Total,5567
Campinas,2010,Total,1080113
Campo Limpo Paulista,2010,Total,74074
Campos do Jordão,2010,Total,47789
Campos Novos Paulista,2010,Total,4539
Cananéia,2010,Total,12226
Canas,2010,Total,4385
Cândido Mota,2010,Total,29884
Cândido Rodrigues,2010,Total,2668
Canitar,2010,Total,4369
Capão Bonito,2010,Total,46178
Capela do Alto,2010,Total,17532
Capivari,2010,Total,48576
Caraguatatuba,2010,Total,100840
Carapicuíba,2010,Total,369584
Cardoso,2010,Total,11805
Casa Branca,2010,Total,28307
Cássia dos Coqueiros,2010,Total,2634
Castilho,2010,Total,18003
Catanduva,2010,Total,112820
Catiguá,2010,Total,7127
Cedral,2010,Total,7972
Cerqueira César,2010,Total,17532
Cerquilho,2010,Total,39617
Cesário Lange,2010,Total,15540
Charqueada,2010,Total,15085
Clementina,2010,Total,7065
Colina,2010,Total,17371
Colômbia,2010,Total,5994
Conchal,2010,Total,25229
Conchas,2010,Total,16288
Cordeirópolis,2010,Total,21080
Coroados,2010,Total,5238
Coronel Macedo,2010,Total,5001
Corumbataí,2010,Total,3874
Cosmópolis,2010,Total,58827
Cosmorama,2010,Total,7214
Cotia,2010,Total,201150
Cravinhos,2010,Total,31691
Cristais Paulista,2010,Total,7588
Cruzália,2010,Total,2274
Cruzeiro,2010,Total,77039
Cubatão,2010,Total,118720
Cunha,2010,Total,21866
Descalvado,2010,Total,31056
Diadema,2010,Total,386089
Dirce Reis,2010,Total,1689
Divinolândia,2010,Total,11208
Dobrada,2010,Total,7939
Dois Córregos,2010,Total,24761
Dolcinópolis,2010,Total,2096
Dourado,2010,Total,8609
Dracena,2010,Total,43258
Duartina,2010,Total,12251
Dumont,2010,Total,8143
Echaporã,2010,Total,6318
Eldorado,2010,Total,14641
Elias Fausto,2010,Total,15775
Elisiário,2010,Total,3120
Embaúba,2010,Total,2423
Embu das Artes,2010,Total,240230
Embu-Guaçu,2010,Total,62769
Emilianópolis,2010,Total,3020
Engenheiro Coelho,2010,Total,15721
Espírito Santo do Pinhal,2010,Total,41907
Espírito Santo do Turvo,2010,Total,4244
Estrela d'Oeste,2010,Total,8208
Estrela do Norte,2010,Total,2658
Euclides da Cunha Paulista,2010,Total,9585
Fartura,2010,Total,15320
Fernandópolis,2010,Total,64696
Fernando Prestes,2010,Total,5534
Fernão,2010,Total,1563
Ferraz de Vasconcelos,2010,Total,168306
Flora Rica,2010,Total,1752
Floreal,2010,Total,3003
Flórida Paulista,2010,Total,12848
Florínea,2010,Total,2829
Franca,2010,Total,318640
Francisco Morato,2010,Total,154472
Franco da Rocha,2010,Total,131604
Gabriel Monteiro,2010,Total,2708
Gália,2010,Total,7011
Garça,2010,Total,43115
Gastão Vidigal,2010,Total,4193
Gavião Peixoto,2010,Total,4419
General Salgado,2010,Total,10669
Getulina,2010,Total,10765
Glicério,2010,Total,4565
Guaiçara,2010,Total,10670
Guaimbê,2010,Total,5425
Guaíra,2010,Total,37404
Guapiaçu,2010,Total,17869
Guapiara,2010,Total,17998
Guará,2010,Total,19858
Guaraçaí,2010,Total,8435
Guaraci,2010,Total,9976
Guarani d'Oeste,2010,Total,1970
Guarantã,2010,Total,6404
Guararapes,2010,Total,30597
Guararema,2010,Total,25844
Guaratinguetá,2010,Total,112072
Guareí,2010,Total,14565
Guariba,2010,Total,35486
Guarujá,2010,Total,290752
Guarulhos,2010,Total,1221979
Guatapará,2010,Total,6966
Guzolândia,2010,Total,4754
Herculândia,2010,Total,8696
Holambra,2010,Total,11299
Hortolândia,2010,Total,192692
Iacanga,2010,Total,10013
Iacri,2010,Total,6419
Iaras,2010,Total,6376
Ibaté,2010,Total,30734
Ibirá,2010,Total,10896
Ibirarema,2010,Total,6725
Ibitinga,2010,Total,53158
Ibiúna,2010,Total,71217
Icém,2010,Total,7462
Iepê,2010,Total,7628
Igaraçu do Tietê,2010,Total,23362
Igarapava,2010,Total,27952
Igaratá,2010,Total,8831
Iguape,2010,Total,28841
Ilhabela,2010,Total,28196
Ilha Comprida,2010,Total,9025
Ilha Solteira,2010,Total,25064
Indaiatuba,2010,Total,201619
Indiana,2010,Total,4825
Indiaporã,2010,Total,3903
Inúbia Paulista,2010,Total,3630
Ipaussu,2010,Total,13663
Iperó,2010,Total,28300
Ipeúna,2010,Total,6016
Ipiguá,2010,Total,4463
Iporanga,2010,Total,4299
Ipuã,2010,Total,14148
Iracemápolis,2010,Total,20029
Irapuã,2010,Total,7275
Irapuru,2010,Total,7789
Itaberá,2010,Total,17858
Itaí,2010,Total,24008
Itajobi,2010,Total,14556
Itaju,2010,Total,3246
Itanhaém,2010,Total,87057
Itaoca,2010,Total,3228
Itapecerica da Serra,2010,Total,152614
Itapetininga,2010,Total,144377
Itapeva,2010,Total,87753
Itapevi,2010,Total,200769
Itapira,2010,Total,68537
Itapirapuã Paulista,2010,Total,3880
Itápolis,2010,Total,40051
Itaporanga,2010,Total,14549
Itapuí,2010,Total,12173
Itapura,2010,Total,4357
Itaquaquecetuba,2010,Total,321770
Itararé,2010,Total,47934
Itariri,2010,Total,15471
Itatiba,2010,Total,101471
Itatinga,2010,Total,18052
Itirapina,2010,Total,15524
Itirapuã,2010,Total,5914
Itobi,2010,Total,7546
Itu,2010,Total,154147
Itupeva,2010,Total,44859
Ituverava,2010,Total,38695
Jaborandi,2010,Total,6592
Jaboticabal,2010,Total,71662
Jacareí,2010,Total,211214
Jaci,2010,Total,5657
Jacupiranga,2010,Total,17208
Jaguariúna,2010,Total,44311
Jales,2010,Total,47012
Jambeiro,2010,Total,5349
Jandira,2010,Total,108344
Jardinópolis,2010,Total,37661
Jarinu,2010,Total,23847
Jaú,2010,Total,131040
Jeriquara,2010,Total,3160
Joanópolis,2010,Total,11768
João Ramalho,2010,Total,4150
José Bonifácio,2010,Total,32763
Júlio Mesquita,2010,Total,4430
Jumirim,2010,Total,2798
Jundiaí,2010,Total,370126
Junqueirópolis,2010,Total,18726
Juquiá,2010,Total,19246
Juquitiba,2010,Total,28737
Lagoinha,2010,Total,4841
Laranjal Paulista,2010,Total,25251
Lavínia,2010,Total,8779
Lavrinhas,2010,Total,6590
Leme,2010,Total,91756
Lençóis Paulista,2010,Total,61428
Limeira,2010,Total,276022
Lindóia,2010,Total,6712
Lins,2010,Total,71432
Lorena,2010,Total,82537
Lourdes,2010,Total,2128
Louveira,2010,Total,37125
Lucélia,2010,Total,19882
Lucianópolis,2010,Total,2249
Luís Antônio,2010,Total,11286
Luiziânia,2010,Total,5030
Lupércio,2010,Total,4353
Lutécia,2010,Total,2714
Macatuba,2010,Total,16259
Macaubal,2010,Total,7663
Macedônia,2010,Total,3664
Magda,2010,Total,3200
Mairinque,2010,Total,43223
Mairiporã,2010,Total,80956
Manduri,2010,Total,8992
Marabá Paulista,2010,Total,4812
Maracaí,2010,Total,13332
Marapoama,2010,Total,2633
Mariápolis,2010,Total,3916
Marília,2010,Total,216745
Marinópolis,2010,Total,2113
Martinópolis,2010,Total,24219
Matão,2010,Total,76786
Mauá,2010,Total,417064
Mendonça,2010,Total,4640
Meridiano,2010,Total,3855
Mesópolis,2010,Total,1886
Miguelópolis,2010,Total,20451
Mineiros do Tietê,2010,Total,12038
Miracatu,2010,Total,20592
Mira Estrela,2010,Total,2820
Mirandópolis,2010,Total,27483
Mirante do Paranapanema,2010,Total,17059
Mirassol,2010,Total,53792
Mirassolândia,2010,Total,4295
Mococa,2010,Total,66290
Mogi das Cruzes,2010,Total,387779
Mogi Guaçu,2010,Total,137245
Mogi Mirim,2010,Total,86505
Mombuca,2010,Total,3266
Monções,2010,Total,2132
Mongaguá,2010,Total,46293
Monte Alegre do Sul,2010,Total,7152
Monte Alto,2010,Total,46642
Monte Aprazível,2010,Total,21746
Monte Azul Paulista,2010,Total,18931
Monte Castelo,2010,Total,4063
Monteiro Lobato,2010,Total,4120
Monte Mor,2010,Total,48949
Morro Agudo,2010,Total,29116
Morungaba,2010,Total,11769
Motuca,2010,Total,4290
Murutinga do Sul,2010,Total,4186
Nantes,2010,Total,2707
Narandiba,2010,Total,4288
Natividade da Serra,2010,Total,6678
Nazaré Paulista,2010,Total,16414
Neves Paulista,2010,Total,8772
Nhandeara,2010,Total,10725
Nipoã,2010,Total,4274
Nova Aliança,2010,Total,5891
Nova Campina,2010,Total,8515
Nova Canaã Paulista,2010,Total,2114
Nova Castilho,2010,Total,1125
Nova Europa,2010,Total,9300
Nova Granada,2010,Total,19180
Nova Guataporanga,2010,Total,2177
Nova Independência,2010,Total,3068
Novais,2010,Total,4592
Nova Luzitânia,2010,Total,3441
Nova Odessa,2010,Total,51242
Novo Horizonte,2010,Total,36593
Nuporanga,2010,Total,6817
Ocauçu,2010,Total,4163
Óleo,2010,Total,2673
Olímpia,2010,Total,50024
Onda Verde,2010,Total,3884
Oriente,2010,Total,6097
Orindiúva,2010,Total,5675
Orlândia,2010,Total,39781
Osasco,2010,Total,666740
Oscar Bressane,2010,Total,2537
Osvaldo Cruz,2010,Total,30917
Ourinhos,2010,Total,103035
Ouroeste,2010,Total,8405
Ouro Verde,2010,Total,7800
Pacaembu,2010,Total,13226
Palestina,2010,Total,11051
Palmares Paulista,2010,Total,10934
Palmeira d'Oeste,2010,Total,9584
Palmital,2010,Total,21186
Panorama,2010,Total,14583
Paraguaçu Paulista,2010,Total,42278
Paraibuna,2010,Total,17388
Paraíso,2010,Total,5898
Paranapanema,2010,Total,17808
Paranapuã,2010,Total,3815
Parapuã,2010,Total,10844
Pardinho,2010,Total,5582
Pariquera-Açu,2010,Total,18446
Parisi,2010,Total,2032
Patrocínio Paulista,2010,Total,13000
Paulicéia,2010,Total,6339
Paulínia,2010,Total,82146
Paulistânia,2010,Total,1779
Paulo de Faria,2010,Total,8589
Pederneiras,2010,Total,41497
Pedra Bela,2010,Total,5780
Pedranópolis,2010,Total,2558
Pedregulho,2010,Total,15700
Pedreira,2010,Total,41558
Pedrinhas Paulista,2010,Total,2940
Pedro de Toledo,2010,Total,10204
Penápolis,2010,Total,58510
Pereira Barreto,2010,Total,24962
Pereiras,2010,Total,7454
Peruíbe,2010,Total,59773
Piacatu,2010,Total,5287
