Região,Porte,Desenvolvimento,Porte,Codigo,Município,,CrecheTotal,CrecheFederal,CrecheEstadual,CrecheMunicipal,CrechePrivada,,PreEscolaTotal,PreEscolaFederal,PreEscolaEstadual,PreEscolaMunicipal,PreEscolaPrivada,,EFAnosInciaisTotal,EFAnosInciaisFederal,EFAnosInciaisEstadual,EFAnosInciaisMunicipal,EFAnosInciaisPrivada,,EFAnosFinaisTotal,EFAnosFinaisFederal,EFAnosFinaisEstadual,EFAnosFinaisMunicipal,EFAnosFinaisPrivada,,EnsinoMédioRegularTotal,EnsinoMédioRegularFederal,EnsinoMédioRegularEstadual,EnsinoMédioRegularMunicipal,EnsinoMédioRegularPrivada,,EProfisIntegradoTotal,EProfisIntegradoFederal,EProfisIntegradoEstadual,EProfisIntegradoMunicipal,EProfisIntegradoPrivada,,EProfisConcomitanteTotal,EProfisConcomitanteFederal,EProfisConcomitanteEstadual,EProfisConcomitanteMunicipal,EProfisConcomitantePrivada,,EProfisSubsequenteTotal,EProfisSubsequenteFederal,EProfisSubsequenteEstadual,EProfisSubsequenteMunicipal,EProfisSubsequentePrivada,,EJATotal,,EJAEnsinoFundamentalTotal,EJAEnsinoFundamentalFederal,EJAEnsinoFundamentalEstadual,EJAEnsinoFundamentalMunicipal,EJAEnsinoFundamentalPrivada,,EJAEnsinoMédioTotal,EJAEnsinoMédioFederal,EJAEnsinoMédioEstadual,EJAEnsinoMédioMunicipal,EJAEnsinoMédioPrivada
Região Administrativa de Presidente Prudente,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3500105,Adamantina,,977,0,0,726,251,,670,0,0,468,202,,1929,0,0,1237,692,,1634,0,975,0,659,,1.726,0,1.387,0,339,,616,0,616,0,0,,90,0,90,0,0,,308,0,308,0,0,,"97,00",,"30,00","0,00","26,00","4,00","0,00",,"67,00","0,00","67,00","0,00","0,00"
Região Administrativa de São José do Rio Preto,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3500204,Adolfo,,132,0,0,0,132,,82,0,0,82,0,,290,0,0,290,0,,227,0,0,227,0,,191,0,191,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3500303,Aguaí,,727,0,0,582,145,,824,0,0,759,65,,2174,0,227,1745,202,,1800,0,1145,512,143,,1.112,0,1.070,0,42,,383,0,383,0,0,,29,0,29,0,0,,135,0,135,0,0,,"262,00",,"135,00","0,00","0,00","135,00","0,00",,"127,00","0,00","127,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3500402,Águas da Prata,,116,0,0,116,0,,115,0,0,115,0,,379,0,0,379,0,,240,0,240,0,0,,127,0,127,0,0,,15,0,15,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 15.001 até 20.000 habitantes,3500501,Águas de Lindóia,,479,0,0,397,82,,382,0,0,361,21,,1040,0,68,887,85,,913,0,291,570,52,,633,0,600,0,33,,26,0,26,0,0,,0,0,0,0,0,,0,0,0,0,0,,"76,00",,"31,00","0,00","0,00","31,00","0,00",,"45,00","0,00","45,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3500550,Águas de Santa Bárbara,,189,0,0,189,0,,184,0,0,184,0,,461,0,0,461,0,,340,0,340,0,0,,258,0,258,0,0,,27,0,27,0,0,,0,0,0,0,0,,0,0,0,0,0,,"4,00",,"4,00","0,00","0,00","4,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Campinas,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3500600,Águas de São Pedro,,101,0,0,101,0,,88,0,0,88,0,,271,0,0,271,0,,267,0,0,267,0,,152,0,152,0,0,,51,0,51,0,0,,3,0,0,0,3,,60,0,0,0,60,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Bauru,Município de Pequeno Porte II,Municípios de Pequeno Porte II: de 20.001 até 50.000 habitantes,Municípios de Pequeno Porte II: de 30.001 até 40.000 habitantes,3500709,Agudos,,1173,0,0,1073,100,,984,0,0,873,111,,2475,0,0,1958,517,,2159,0,1566,0,593,,1.585,0,1.285,0,300,,67,0,67,0,0,,39,0,0,0,39,,12,0,0,0,12,,"9,00",,"9,00","0,00","0,00","7,00","2,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Sorocaba,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 5.001 até 10.000 habitantes,3500758,Alambari,,143,0,0,143,0,,145,0,0,145,0,,388,0,0,388,0,,313,0,313,0,0,,156,0,156,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
Região Administrativa de Presidente Prudente,Município de Pequeno Porte I,Municípios de Pequeno Porte I: até 20.000 habitantes,Municípios de Pequeno Porte I: de 1.001 até 5.000 habitantes,3500808,Alfredo Marcondes,,101,0,0,101,0,,113,0,0,113,0,,222,0,222,0,0,,196,0,196,0,0,,143,0,143,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,"0,00",,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00"
